omega_n,omega_next,return_time,impact_count,return_type,omega_next_exact,absolute_error,attractor,gamma,alpha,omega_1,omega_2,gravity,length,mass,num_spokes
-8.0,-5.483591463739493,0.10048379778861999,1,uphill_step,-5.483591452505291,1.1234202013099548e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.98,-5.469001311316079,0.1007477456331253,1,uphill_step,-5.469001299870854,1.144522521201452e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.96,-5.454408798459534,0.1010131162405014,1,uphill_step,-5.454408787209581,1.124995296919451e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.94,-5.439813906831325,0.10127992212772369,1,uphill_step,-5.4398138955288795,1.1302445201977207e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.92,-5.425216617215678,0.10154817521572113,1,uphill_step,-5.4252166056286715,1.158700690950809e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.9,-5.41061690951492,0.10181788682937622,1,uphill_step,-5.410616898098505,1.1416415368614707e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.88,-5.396014764932933,0.10208907008171081,1,uphill_step,-5.396014753314625,1.1618308093375163e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.86,-5.381410162688043,0.10236173629760742,1,uphill_step,-5.38141015143699,1.1251053422256518e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.84,-5.366803083837448,0.10263589918613433,1,uphill_step,-5.366803072406243,1.1431205315659554e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.82,-5.352193507442895,0.10291157066822051,1,uphill_step,-5.352193495940621,1.1502273800090279e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.8,-5.337581412753779,0.10318876326084137,1,uphill_step,-5.337581401532822,1.122095660832656e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.78,-5.322966779749051,0.10346749067306518,1,uphill_step,-5.322966768446811,1.1302240032762256e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.76,-5.308349586943741,0.10374776542186737,1,uphill_step,-5.308349575714573,1.1229168705995107e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.74,-5.2937298135718125,0.10402960121631621,1,uphill_step,-5.293729802132811,1.1439001745827682e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.72,-5.279107437392514,0.10431301057338714,1,uphill_step,-5.279107426259584,1.11329301333285e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.7,-5.264482437967142,0.10459800839424133,1,uphill_step,-5.26448242641089,1.1556251955369135e-08,standing,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.68,-5.249854792276996,0.10488460719585418,1,uphill_step,-5.249854780657183,1.1619812667618135e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.66,-5.235224477999939,0.105172820687294,1,uphill_step,-5.235224466819841,1.1180097736485095e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.64,-5.220591474051593,0.10546266436576843,1,uphill_step,-5.220591462467551,1.1584042169943132e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.62,-5.205955756203009,0.10575415074825287,1,uphill_step,-5.205955744912656,1.129035265279299e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.6,-5.191317302545084,0.10604729533195495,1,uphill_step,-5.191317291207414,1.1337669469924094e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.58,-5.176676089653066,0.10634211242198943,1,uphill_step,-5.176676078140209,1.1512857334139426e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.56,-5.16203209367436,0.10663861632347106,1,uphill_step,-5.162032082231675,1.1442685021734178e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.54,-5.147385290869197,0.10693682193756103,1,uphill_step,-5.147385279730777,1.1138419964140667e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.52,-5.13273565815116,0.10723674535751342,1,uphill_step,-5.13273564661079,1.1540369548868057e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.5,-5.118083169798264,0.10753840029239653,1,uphill_step,-5.118083158565234,1.1233029617585544e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.48,-5.10342780236965,0.10784180343151092,1,uphill_step,-5.1034277910037185,1.1365931307238952e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.46,-5.088769530322311,0.10814696967601775,1,uphill_step,-5.0887695190477125,1.1274598143984349e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.4399999999999995,-5.074108328739332,0.10845391511917113,1,uphill_step,-5.0741083175262505,1.1213081130279079e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.42,-5.059444172228664,0.10876265585422515,1,uphill_step,-5.059444160971547,1.1257117016327811e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.4,-5.044777034915851,0.1090732079744339,1,uphill_step,-5.0447770236145315,1.1301319879919447e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.38,-5.030106890436626,0.10938558757305145,1,uphill_step,-5.030106879380306,1.1056319415558846e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.36,-5.0154337130234685,0.1096998119354248,1,uphill_step,-5.015433701883526,1.1139942301952033e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.34,-5.000757475313302,0.11001589715480803,1,uphill_step,-5.000757464423673,1.0889628754284786e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.32,-4.986078151135639,0.11033386111259459,1,uphill_step,-4.986078139980268,1.1155370849280644e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.3,-4.971395712026224,0.11065371990203857,1,uphill_step,-4.97139570120797,1.0818253848299264e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.28,-4.956710131244556,0.11097549200057982,1,uphill_step,-4.9567101204316035,1.0812952311312074e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.26,-4.942021380418805,0.11129919469356536,1,uphill_step,-4.942021369641079,1.0777726267008347e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.24,-4.927329431178506,0.11162484586238859,1,uphill_step,-4.927329420486222,1.0692283503033195e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.22,-4.912634255145951,0.11195246398448942,1,uphill_step,-4.912634244271508,1.0874443567843173e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.2,-4.897935822833315,0.11228206694126128,1,uphill_step,-4.897935811950692,1.0882622802910191e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.18,-4.883234105274852,0.11261367380619047,1,uphill_step,-4.883234094121343,1.1153509227312952e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.16,-4.86852907182958,0.11294730246067046,1,uphill_step,-4.868529061019261,1.0810318862297663e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.14,-4.853820693454281,0.11328297317028044,1,uphill_step,-4.853820682512806,1.0941475281356361e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.12,-4.839108938864664,0.11362070441246032,1,uphill_step,-4.839108928097103,1.076756106499488e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.1,-4.824393777808,0.11396051645278929,1,uphill_step,-4.824393766888135,1.0919865012226637e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.08,-4.809675178318015,0.11430242836475371,1,uphill_step,-4.809675167616737,1.0701278085889498e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.06,-4.794953109440074,0.11464646100997923,1,uphill_step,-4.794953098622455,1.0817619688907598e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.04,-4.7802275384856925,0.11499263405799864,1,uphill_step,-4.780227527847297,1.063839505377473e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.02,-4.765498433757304,0.11534096896648406,1,uphill_step,-4.765498422829356,1.0927947435845908e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-7.0,-4.750765761802363,0.1156914860010147,1,uphill_step,-4.750765750696311,1.1106052077991535e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.98,-4.736029489043594,0.11604420602321623,1,uphill_step,-4.736029478158797,1.0884797063681617e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.96,-4.721289582314942,0.11639915108680723,1,uphill_step,-4.721289571503646,1.0811295858559333e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.9399999999999995,-4.706546007209089,0.11675634264945983,1,uphill_step,-4.706545996586996,1.0622092538881134e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.92,-4.691798729707052,0.11711580336093902,1,uphill_step,-4.691798718827257,1.0879794842821866e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.9,-4.6770477139781725,0.11747755467891692,1,uphill_step,-4.677047703197936,1.078023625922242e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.88,-4.66229292510334,0.11784161984920499,1,uphill_step,-4.662292914220329,1.08830109368796e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.859999999999999,-4.647534326874499,0.11820802152156829,1,uphill_step,-4.647534315956051,1.0918448367647215e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.84,-4.632771882876209,0.11857678294181823,1,uphill_step,-4.632771871999428,1.0876780365265404e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.82,-4.618005555925787,0.11894792735576629,1,uphill_step,-4.61800554546972,1.0456067123243429e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.8,-4.6032353097014065,0.11932147979736327,1,uphill_step,-4.6032352990032,1.0698206764914175e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.78,-4.588461105446434,0.11969746351242064,1,uphill_step,-4.588461094745066,1.0701368680088308e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.76,-4.573682904706352,0.12007590293884275,1,uphill_step,-4.573682894341176,1.0365176272841836e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.74,-4.5589006693357765,0.12045682370662687,1,uphill_step,-4.558900658929638,1.0406138173379986e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.72,-4.544114359698862,0.1208402508497238,1,uphill_step,-4.544114349132191,1.0566671093670266e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.7,-4.529323935367489,0.12122620940208433,1,uphill_step,-4.529323925045446,1.032204277606752e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.68,-4.514529356690033,0.12161472618579863,1,uphill_step,-4.514529346231907,1.0458125920820294e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.66,-4.4997305820410025,0.12200582683086393,1,uphill_step,-4.499730571710831,1.0330171384964615e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.64,-4.484927570540818,0.12239953875541686,1,uphill_step,-4.484927559948887,1.0591930887926537e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
-6.62,-4.47012027930478,0.12279588818550108,1,uphill_step,-4.470120268850614,1.0454165533246851e-08,rolling,0.26,0.39269908169872414,0.4153208441717099,-2.0082183565601963,9.81,1,1,8
