omega_n,omega_next,return_time,impact_count,return_type,omega_next_exact,absolute_error,attractor,gamma,alpha,omega_1,omega_2,gravity,length,mass,num_spokes
-8.0,-5.550117055039411,0.09989462077617645,1,uphill_step,-5.550117047737592,7.301819593408254e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
-7.98,-5.535702242912747,0.10015390038490295,1,uphill_step,-5.5357022358132175,7.099529852894193e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
-7.96,-5.521286020735615,0.10041455328464508,1,uphill_step,-5.521286013564906,7.170709359627381e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
-7.94,-5.50686837770358,0.10067659080028533,1,uphill_step,-5.506868369916559,7.787021694127816e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
-7.92,-5.492449300842562,0.10094002306461333,1,uphill_step,-5.492449293674676,7.167885840431154e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
-7.9,-5.478028780674791,0.10120486259460448,1,uphill_step,-5.478028773526792,7.1479986374356486e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
-7.88,-5.463606805493642,0.10147112071514129,1,uphill_step,-5.4636067980398675,7.45377448652107e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
-7.86,-5.449183363266107,0.10173880875110625,1,uphill_step,-5.449183355658667,7.607440011270228e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
-7.84,-5.434758442581706,0.10200793862342833,1,uphill_step,-5.434758434704109,7.877597241190415e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
-7.82,-5.4203320307409575,0.10227852165699004,1,uphill_step,-5.42033202337158,7.369377108545905e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
-7.8,-5.405904117564514,0.10255057096481322,1,uphill_step,-5.405904109729236,7.835278204026963e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
-7.78,-5.391474689667637,0.10282409787178039,1,uphill_step,-5.391474681716261,7.951376446158065e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
-7.76,-5.377043734269182,0.10309911429882049,1,uphill_step,-5.3770437271411,7.128082124552293e-09,rolling,0.16,0.39269908169872414,0.7271916346027661,-1.7091545238103414,9.81,1,1,8
