omega_n,omega_next,return_time,impact_count,return_type,omega_next_exact,absolute_error,attractor,gamma,alpha,omega_1,omega_2,gravity,length,mass,num_spokes
-8.0,-5.158867327706738,0.10331131935119628,1,uphill_step,-5.158867306758999,2.0947738654797377e-08,rolling,0.8,0.39269908169872414,1.2669042096217062,-3.518127697918809,9.81,1,1,8
-7.98,-5.143356112840514,0.10359879851341247,1,uphill_step,-5.143356091964356,2.0876157691418484e-08,rolling,0.8,0.39269908169872414,1.2669042096217062,-3.518127697918809,9.81,1,1,8
-7.96,-5.1278369811536315,0.10388796925544738,1,uphill_step,-5.127836960039472,2.1114159309831848e-08,rolling,0.8,0.39269908169872414,1.2669042096217062,-3.518127697918809,9.81,1,1,8
-7.94,-5.11230985957302,0.1041788476705551,1,uphill_step,-5.112309838883678,2.068934179533244e-08,rolling,0.8,0.39269908169872414,1.2669042096217062,-3.518127697918809,9.81,1,1,8
-7.92,-5.096774676310151,0.10447144925594329,1,uphill_step,-5.096774655480351,2.0829800106980656e-08,rolling,0.8,0.39269908169872414,1.2669042096217062,-3.518127697918809,9.81,1,1,8
-7.9,-5.081231357579744,0.10476579010486602,1,uphill_step,-5.081231335881771,2.1697973195955456e-08,rolling,0.8,0.39269908169872414,1.2669042096217062,-3.518127697918809,9.81,1,1,8
-7.88,-5.065679825956182,0.10506188750267029,1,uphill_step,-5.065679805193658,2.076252414440205e-08,rolling,0.8,0.39269908169872414,1.2669042096217062,-3.518127697918809,9.81,1,1,8
-7.86,-5.050120008556953,0.10535975694656372,1,uphill_step,-5.05011998755939,2.0997562799607294e-08,rolling,0.8,0.39269908169872414,1.2669042096217062,-3.518127697918809,9.81,1,1,8
-7.84,-5.034551827209587,0.1056594157218933,1,uphill_step,-5.034551806143904,2.1065682531684615e-08,rolling,0.8,0.39269908169872414,1.2669042096217062,-3.518127697918809,9.81,1,1,8
-7.82,-5.018975204996995,0.10596088051795959,1,uphill_step,-5.018975183117252,2.1879742462260765e-08,rolling,0.8,0.39269908169872414,1.2669042096217062,-3.518127697918809,9.81,1,1,8
