theta_index,theta_dot_index,theta0,theta_dot0,classification,final_time,final_theta,final_theta_dot,total_impacts,downhill_impacts,uphill_impacts,rolling_speed,gamma,alpha,gravity,length,mass,num_spokes
0,0,-0.13269908169872413,-3.0,settled,0.9600000000000006,-0.13269908169872413,0.0,3,1,2,nan,0.26,0.39269908169872414,9.81,1,1,8
0,1,-0.13269908169872413,-2.9625,settled,1.0100000000000007,-0.13269908169872413,0.0,3,1,2,nan,0.26,0.39269908169872414,9.81,1,1,8
0,2,-0.13269908169872413,-2.925,settled,1.0900000000000007,-0.13269908169872413,0.0,3,1,2,nan,0.26,0.39269908169872414,9.81,1,1,8
0,3,-0.13269908169872413,-2.8875,settled,1.2200000000000009,-0.13269908169872413,0.0,3,1,2,nan,0.26,0.39269908169872414,9.81,1,1,8
0,4,-0.13269908169872413,-2.85,settled,1.6600000000000013,-0.13269908169872413,0.0,3,1,2,nan,0.26,0.39269908169872414,9.81,1,1,8
0,5,-0.13269908169872413,-2.8125,rolling,8.129999999999871,-0.12558064143124498,1.9602166048755152,19,18,1,1.9647642869538224,0.26,0.39269908169872414,9.81,1,1,8
0,6,-0.13269908169872413,-2.775,rolling,7.859999999999877,-0.1301135279864698,1.9631066934255479,19,18,1,1.9647632193250342,0.26,0.39269908169872414,9.81,1,1,8
0,7,-0.13269908169872413,-2.7375,rolling,7.71999999999988,-0.13254737277515324,1.9646986490311833,19,18,1,1.9647621660161372,0.26,0.39269908169872414,9.81,1,1,8
0,8,-0.13269908169872413,-2.7,rolling,7.629999999999882,-0.12681503841787242,1.9609936826395777,19,18,1,1.964761125532766,0.26,0.39269908169872414,9.81,1,1,8
0,9,-0.13269908169872413,-2.6625,rolling,7.559999999999883,-0.12852058679980022,1.9620796039548756,19,18,1,1.9647601020292427,0.26,0.39269908169872414,9.81,1,1,8
0,10,-0.13269908169872413,-2.625,rolling,7.509999999999884,-0.1196925033626822,1.9566080559805084,19,18,1,1.9647590905203831,0.26,0.39269908169872414,9.81,1,1,8
0,11,-0.13269908169872413,-2.5875,rolling,7.459999999999885,-0.1303185667818173,1.9632392451576322,19,18,1,1.9647580940660714,0.26,0.39269908169872414,9.81,1,1,8
0,12,-0.13269908169872413,-2.55,rolling,7.429999999999886,-0.11586283987146272,1.9543503297699887,19,18,1,1.9647571116931264,0.26,0.39269908169872414,9.81,1,1,8
0,13,-0.13269908169872413,-2.5125,rolling,7.389999999999887,-0.13171590409890313,1.9641510312685277,19,18,1,1.9647561442456105,0.26,0.39269908169872414,9.81,1,1,8
0,14,-0.13269908169872413,-2.475,rolling,7.369999999999887,-0.11683222140336137,1.9549149204699388,19,18,1,1.9647551917057235,0.26,0.39269908169872414,9.81,1,1,8
